Model,Val_Accuracy,Test_Accuracy,Accuracy_Gap,Val_F1,Test_F1,F1_Gap,Val_AUC,Test_AUC,AUC_Gap,Train_Time
Random Forest,0.9491470349309504,0.9455727051177905,0.003574329813159971,0.9406410013275175,0.9366370342349158,0.004003967092601646,0.9900309538602766,0.9881309986828787,0.0018999551773979384,1.2207348346710205
SVM,0.9689683184402924,0.9684809098294069,0.0004874086108854758,0.9644518890750047,0.9639673105497771,0.0004845785252275414,0.994398197364982,0.9923812340984176,0.00201696326656442,107.76440787315369
LSTM,0.9644191714053615,0.9632818846466288,0.001137286758732703,0.9594969484002219,0.9584711503123852,0.00102579808783676,0.9944497584272735,0.9951725282660112,-0.0007227698387377579,530.5869660377502
