Model,Val_Accuracy,Test_Accuracy,Accuracy_Gap,Val_F1,Test_F1,F1_Gap,Val_AUC,Test_AUC,AUC_Gap,Train_Time
Random Forest,0.9481722177091795,0.9475223395613322,0.0006498781478472271,0.9401163882110005,0.9396148812862217,0.000501506924778794,0.9893623823406698,0.987857531295089,0.0015048510455807351,1.2093298435211182
SVM,0.9710804224207961,0.9689683184402924,0.0021121039805036546,0.9668652271034996,0.9644915411786578,0.002373685924841884,0.9943966903610739,0.9925597602399838,0.0018369301210900968,96.18006205558777
LSTM,0.9588952071486596,0.9579203899268887,0.0009748172217709516,0.9533296439771259,0.9526767769048055,0.0006528670723204844,0.9939804343529721,0.99508189274524,-0.001101458392267829,500.15580892562866
