Model,Val_Accuracy,Test_Accuracy,Accuracy_Gap,Val_F1,Test_F1,F1_Gap,Val_AUC,Test_AUC,AUC_Gap,Train_Time
Random Forest,0.9166531275385865,0.9148659626320065,0.001787164906580041,0.9030795390137918,0.9024571854058079,0.0006223536079839054,0.9745820647589721,0.9726007851920936,0.0019812795668785466,1.797652006149292
SVM,0.9710804224207961,0.9689683184402924,0.0021121039805036546,0.9668652271034996,0.9644915411786578,0.002373685924841884,0.9943966903610739,0.9925597602399838,0.0018369301210900968,90.23966121673584
LSTM,0.9410235580828594,0.9402112103980503,0.0008123476848090894,0.9341556321422093,0.9335979790689282,0.0005576530732811502,0.9900910187303364,0.9901708899374766,-7.98712071401475e-05,374.4898319244385
