Model,Val_Accuracy,Test_Accuracy,Accuracy_Gap,Val_F1,Test_F1,F1_Gap,Val_AUC,Test_AUC,AUC_Gap,Train_Time
Random Forest,0.9152037098376946,0.9117403543633051,0.0034633554743894734,0.9085714285714286,0.9046341027017355,0.003937325869693087,0.9733520333519607,0.9721084828980393,0.0012435504539214381,1.797666072845459
SVM,0.9703544219940378,0.9693657890379201,0.0009886329561176188,0.9689074170574952,0.9679431640963437,0.000964252961151435,0.9939043396564173,0.9932228435295438,0.0006814961268735154,73.29239416122437
LSTM,0.9549519708512753,0.9523099850968704,0.0026419857544048853,0.9533767569420638,0.950786056049214,0.002590700892849851,0.991745079444822,0.9919614515713917,-0.00021637212656966387,397.19867396354675
