Model,Val_Accuracy,Test_Accuracy,Accuracy_Gap,Val_F1,Test_F1,F1_Gap,Val_AUC,Test_AUC,AUC_Gap,Train_Time
Random Forest,0.9491470349309504,0.9455727051177905,0.003574329813159971,0.9406410013275175,0.9366370342349158,0.004003967092601646,0.9900309538602766,0.9881309986828787,0.0018999551773979384,1.1498029232025146
SVM,0.9689683184402924,0.9684809098294069,0.0004874086108854758,0.9644518890750047,0.9639673105497771,0.0004845785252275414,0.994398197364982,0.9923812340984176,0.00201696326656442,131.72019505500793
LSTM,0.9637692932575143,0.9623070674248578,0.0014622258326564275,0.958802881950859,0.9574311926605504,0.0013716892903086197,0.9946233329845695,0.9952216673577357,-0.0005983343731661428,523.4301130771637
